"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,
Population (number of persons) 1/,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
22660,"Fort Collins, CO (Metropolitan Statistical Area)",260541,265372,268448,271510,275116,280713,286112,291650,296696,300523,305267,310965,316605,324709,333869,339993
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",258087,260117,261903,264035,266708,271075,274305,276322,278908,280712,281018,280830,280070,279967,280445,281227
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",393580,396147,398993,400583,403240,406783,410223,412062,414438,416913,419811,421749,424241,426613,429372,431802
23420,"Fresno, CA (Metropolitan Statistical Area)",813021,829762,847193,861035,872470,883862,895933,909630,921478,932463,940496,946844,953762,963151,972130,979915
23460,"Gadsden, AL (Metropolitan Statistical Area)",102976,102988,103025,103080,103174,103528,103893,104206,104239,104449,104236,104215,103790,103371,102873,102564
23540,"Gainesville, FL (Metropolitan Statistical Area)",236001,239116,242033,245138,249557,255729,259295,261685,263486,264620,266709,268473,269548,272759,276583,280708
23580,"Gainesville, GA (Metropolitan Statistical Area)",146148,150229,153561,156385,160979,166524,172446,177277,178503,180002,182878,184929,187373,190215,193257,196637
23900,"Gettysburg, PA (Metropolitan Statistical Area)",92591,93934,95503,97300,98606,99899,100502,101056,101252,101475,101650,101535,101407,101612,102063,102180
24020,"Glens Falls, NY (Metropolitan Statistical Area)",124548,124926,125944,126854,127674,128325,128794,129100,128771,128999,128806,128484,127922,127324,126782,126367
24140,"Goldsboro, NC (Metropolitan Statistical Area)",113934,114305,114595,116484,117009,117534,118942,119910,121217,122908,124042,124551,124634,124583,124319,124150
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",96663,96367,96267,98164,97777,98266,97606,98092,97941,98621,98194,99189,100956,101603,102226,102743
